state,x,y
Jammu & Kashmir,-133.0,251.0
Ladakh,-81.0,271.0
Himachal Pradesh,-99.0,209.0
Punjab,-140.0,191.0
Uttarakhand,-80.0,179.0
Haryana,-134.0,165.0
Delhi,-101.0,144.0
Rajasthan,-189.0,108.0
Uttar Pradesh,-41.0,108.0
Bihar,51.0,84.0
Sikkim,111.0,129.0
Arunachal Pradesh,220.0,156.0
Assam,159.0,106.0
Nagaland,235.0,106.0
Manipur,219.0,78.0
Mizoram,201.0,35.0
Tripura,164.0,49.0
Meghalaya,148.0,84.0
West Bengal,94.0,28.0
Gujarat,-222.0,32.0
Madhya Pradesh,-113.0,28.0
Jharkhand,37.0,47.0
Odisha,16.0,-26.0
Chhattisgarh,-29.0,-1.0
Maharashtra,-161.0,-51.0
Telangana,-89.0,-72.0
Andhra Pradesh,-97.0,-129.0
Karnataka,-161.0,-143.0
Goa,-177.0,-129.0
Kerala,-133.0,-261.0
Tamil Nadu,-108.0,-216.0
Andaman & Nicobar Islands,210.0,-218.0
Lakshadweep,-223.0,-219.0
